event_id,timestamp,region,state,plant_id,generation_type,plant_capacity_mw,scheduled_mw,actual_mw,curtailed_mw,deviation_mw,dispatcher_remark,true_cause_label,is_synthetic,source_document_id,predicted_cause,confidence_score,pipeline_status,validation_status
EVT-2026-1024,2026-08-14 11:00:00,Western Region,Rajasthan,RJ_SOLAR_01,Solar,1000,452.6,393.8,58.8,58.8,N-1 contingency constraint triggered on evacuation line,Transmission Constraint,True,DOC-20260814-RA,Transmission Constraint,0.897,classified,confirmed
EVT-2026-1025,2026-07-24 22:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,255.4,224.0,31.4,31.4,Transmission congestion on Bhuj to Khavda 765kV line,Transmission Constraint,True,DOC-20260724-TA,Transmission Constraint,0.837,classified,confirmed
EVT-2026-1026,2026-07-02 06:00:00,Western Region,Madhya Pradesh,MP_SOLAR_01,Solar,500,345.6,225.5,120.1,143.2,Reactive power compensation constraint at Kurnool grid,Grid Security,True,DOC-20260702-MA,Grid Security,0.863,classified,mismatch
EVT-2026-1027,2026-06-11 08:00:00,Western Region,Rajasthan,RJ_SOLAR_01,Solar,1000,750.1,616.0,134.1,134.1,Bay maintenance shutdown at Kurnool RE pooling station,Maintenance / Outage,True,DOC-20260611-RA,Maintenance / Outage,0.886,classified,confirmed
EVT-2026-1028,2026-06-04 09:00:00,Southern Region,Karnataka,KA_SOLAR_01,Solar,600,298.7,279.0,19.7,19.7,Substation maintenance work scheduled at Bhuj,Maintenance / Outage,True,DOC-20260604-KA,Maintenance / Outage,0.854,classified,confirmed
EVT-2026-1029,2026-07-14 07:00:00,Southern Region,Andhra Pradesh,AP_SOLAR_02,Solar,450,324.8,220.4,104.4,104.4,Low demand period discom backing down request,Commercial / Discom Request,True,DOC-20260714-AN,Commercial / Discom Request,0.911,classified,confirmed
EVT-2026-1030,2026-07-30 11:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,218.8,199.6,19.2,19.2,Economic dispatch instruction from SLDC control room,Commercial / Discom Request,True,DOC-20260730-GU,Commercial / Discom Request,0.898,classified,confirmed
EVT-2026-1031,2026-08-14 17:00:00,Western Region,Madhya Pradesh,MP_SOLAR_01,Solar,500,201.1,150.0,51.1,51.1,Over-frequency condition (50.14 Hz) detected across regional grid,High Frequency,True,DOC-20260814-MA,High Frequency,0.873,classified,confirmed
EVT-2026-1032,2026-07-08 09:00:00,Western Region,Madhya Pradesh,MP_SOLAR_01,Solar,500,265.7,223.5,42.2,42.2,Emergency backing down to prevent grid failure at Tuticorin,Grid Security,True,DOC-20260708-MA,Grid Security,0.862,classified,confirmed
EVT-2026-1033,2026-07-05 15:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,243.8,151.9,91.9,91.9,Substation maintenance work scheduled at Muppandal,Maintenance / Outage,True,DOC-20260705-TA,Maintenance / Outage,0.854,classified,confirmed
EVT-2026-1034,2026-08-19 01:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,160.9,145.6,15.3,15.3,Over-generation mitigation required for grid stability,Grid Security,True,DOC-20260819-GU,Grid Security,0.885,classified,confirmed
EVT-2026-1035,2026-08-14 15:00:00,Western Region,Rajasthan,RJ_SOLAR_01,Solar,1000,786.6,535.8,250.8,250.8,Bay maintenance shutdown at Rewa RE pooling station,Maintenance / Outage,True,DOC-20260814-RA,Maintenance / Outage,0.88,classified,confirmed
EVT-2026-1036,2026-06-22 09:00:00,Southern Region,Andhra Pradesh,AP_SOLAR_02,Solar,450,391.8,300.6,91.2,117.9,Grid security alert: voltage instability detected at Kurnool,Grid Security,True,DOC-20260622-AN,Grid Security,0.875,classified,mismatch
EVT-2026-1037,2026-06-15 17:00:00,Southern Region,Karnataka,KA_SOLAR_01,Solar,600,451.9,389.0,62.9,70.4,Commercial backing down order from state DISCOM (Tangedco),Commercial / Discom Request,True,DOC-20260615-KA,Commercial / Discom Request,0.83,classified,mismatch
EVT-2026-1038,2026-06-02 15:00:00,Western Region,Rajasthan,RJ_SOLAR_01,Solar,1000,568.6,383.0,185.6,185.6,Grid security alert: voltage instability detected at Kayathar,Grid Security,True,DOC-20260602-RA,Grid Security,0.863,classified,confirmed
EVT-2026-1039,2026-08-16 19:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,241.7,206.1,35.6,35.6,Economic dispatch instruction from SLDC control room,Commercial / Discom Request,True,DOC-20260816-GU,Commercial / Discom Request,0.898,classified,confirmed
EVT-2026-1040,2026-06-22 23:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,370.1,237.8,132.3,132.3,Transmission congestion on Bhuj to Bhadla 765kV line,Transmission Constraint,True,DOC-20260622-GU,Transmission Constraint,0.843,classified,confirmed
EVT-2026-1041,2026-07-19 12:00:00,Southern Region,Karnataka,KA_SOLAR_01,Solar,600,353.0,219.0,134.0,134.0,"System frequency surge (50.06 Hz), active power curtailment executed",High Frequency,True,DOC-20260719-KA,High Frequency,0.891,classified,confirmed
EVT-2026-1042,2026-06-13 09:00:00,Southern Region,Andhra Pradesh,AP_SOLAR_02,Solar,450,242.2,208.7,33.5,33.5,"Inter-regional corridor bottleneck, backing down required",Transmission Constraint,True,DOC-20260613-AN,Transmission Constraint,0.901,classified,confirmed
EVT-2026-1043,2026-07-01 20:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,171.1,111.8,59.3,59.3,Frequency control directive: reduce generation immediately,High Frequency,True,DOC-20260701-GU,High Frequency,0.892,classified,confirmed
EVT-2026-1044,2026-06-12 15:00:00,Southern Region,Karnataka,KA_SOLAR_01,Solar,600,361.9,277.2,84.7,84.7,Frequency control directive: reduce generation immediately,High Frequency,True,DOC-20260612-KA,High Frequency,0.892,classified,confirmed
EVT-2026-1045,2026-07-16 07:00:00,Southern Region,Karnataka,KA_SOLAR_01,Solar,600,437.8,422.5,15.3,15.3,Reactive power compensation constraint at Bhadla grid,Grid Security,True,DOC-20260716-KA,Grid Security,0.881,classified,confirmed
EVT-2026-1046,2026-07-27 02:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,320.0,282.5,37.5,37.5,Power surrender by buying utility due to off-peak tariff,Commercial / Discom Request,True,DOC-20260727-GU,Commercial / Discom Request,0.881,classified,confirmed
EVT-2026-1047,2026-08-17 12:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,279.3,206.5,72.8,72.8,Transmission congestion on Kayathar to Pavagada 765kV line,Transmission Constraint,True,DOC-20260817-TA,Transmission Constraint,0.804,classified,confirmed
EVT-2026-1048,2026-07-21 11:00:00,Western Region,Rajasthan,RJ_SOLAR_01,Solar,1000,462.0,409.2,52.8,52.8,Transmission line constraint at Khavda 400kV corridor,Transmission Constraint,True,DOC-20260721-RA,Transmission Constraint,0.875,classified,confirmed
EVT-2026-1049,2026-06-11 06:00:00,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,500,350.4,305.2,45.2,45.2,Power surrender by buying utility due to off-peak tariff,Commercial / Discom Request,True,DOC-20260611-TA,Commercial / Discom Request,0.881,classified,confirmed
EVT-2026-1050,2026-07-13 16:00:00,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,500,310.4,261.4,49.0,49.0,Planned line clearance for grid upgrade work,Maintenance / Outage,True,DOC-20260713-TA,Maintenance / Outage,0.91,classified,confirmed
EVT-2026-1051,2026-08-06 05:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,216.3,176.9,39.4,39.4,Bay maintenance shutdown at Rewa RE pooling station,Maintenance / Outage,True,DOC-20260806-TA,Maintenance / Outage,0.88,classified,confirmed
EVT-2026-1052,2026-08-08 17:00:00,Western Region,Madhya Pradesh,MP_SOLAR_01,Solar,500,325.6,284.5,41.1,41.1,Frequency control directive: reduce generation immediately,High Frequency,True,DOC-20260808-MA,High Frequency,0.892,classified,confirmed
EVT-2026-1053,2026-07-28 09:00:00,Western Region,Madhya Pradesh,MP_SOLAR_01,Solar,500,350.7,279.8,70.9,70.9,Over-frequency condition (50.08 Hz) detected across regional grid,High Frequency,True,DOC-20260728-MA,High Frequency,0.896,classified,confirmed
EVT-2026-1054,2026-07-24 11:00:00,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,500,301.1,246.2,54.9,54.9,Commercial backing down order from state DISCOM (Javvnl),Commercial / Discom Request,True,DOC-20260724-TA,Commercial / Discom Request,0.882,classified,confirmed
EVT-2026-1055,2026-08-08 06:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,199.1,123.4,75.7,75.7,"System frequency surge (50.14 Hz), active power curtailment executed",High Frequency,True,DOC-20260808-GU,High Frequency,0.893,classified,confirmed
EVT-2026-1056,2026-06-30 15:00:00,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,500,411.9,268.8,143.1,143.1,Line loading exceeded thermal capacity limit at Bhadla,Transmission Constraint,True,DOC-20260630-TA,Transmission Constraint,0.885,classified,confirmed
EVT-2026-1057,2026-07-03 23:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,199.5,177.7,21.8,21.8,DISCOM commercial request due to low demand period,Commercial / Discom Request,True,DOC-20260703-GU,Commercial / Discom Request,0.917,classified,confirmed
EVT-2026-1058,2026-08-17 00:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,268.8,241.3,27.5,27.5,Over-frequency condition (50.12 Hz) detected across regional grid,High Frequency,True,DOC-20260817-GU,High Frequency,0.874,classified,confirmed
EVT-2026-1059,2026-06-19 06:00:00,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,500,450.3,283.7,166.6,166.6,"Frequency higher than statutory limit (50.15 Hz), RE reduction mandated",High Frequency,True,DOC-20260619-TA,High Frequency,0.87,classified,confirmed
EVT-2026-1060,2026-08-14 09:00:00,Western Region,Madhya Pradesh,MP_SOLAR_01,Solar,500,334.2,301.4,32.8,26.7,Grid security alert: voltage instability detected at Kurnool,Grid Security,True,DOC-20260814-MA,Grid Security,0.875,classified,mismatch
EVT-2026-1061,2026-06-14 02:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,321.1,224.2,96.9,96.9,N-1 contingency constraint triggered on evacuation line,Transmission Constraint,True,DOC-20260614-GU,Transmission Constraint,0.897,classified,confirmed
EVT-2026-1062,2026-06-16 17:00:00,Southern Region,Andhra Pradesh,AP_SOLAR_02,Solar,450,383.6,248.4,135.2,135.2,Planned line clearance for grid upgrade work,Maintenance / Outage,True,DOC-20260616-AN,Maintenance / Outage,0.91,classified,confirmed
EVT-2026-1063,2026-06-29 14:00:00,Southern Region,Karnataka,KA_SOLAR_01,Solar,600,439.5,329.7,109.8,109.8,Transmission congestion on Rewa to Bhuj 765kV line,Transmission Constraint,True,DOC-20260629-KA,Transmission Constraint,0.805,classified,confirmed
EVT-2026-1064,2026-08-10 17:00:00,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,500,402.5,357.1,45.4,45.4,Over-frequency condition (50.13 Hz) detected across regional grid,High Frequency,True,DOC-20260810-TA,High Frequency,0.884,classified,confirmed
EVT-2026-1065,2026-06-07 13:00:00,Southern Region,Andhra Pradesh,AP_SOLAR_02,Solar,450,289.7,250.9,38.8,38.8,Protection relay testing shutdown at pooling station,Maintenance / Outage,True,DOC-20260607-AN,Maintenance / Outage,0.891,classified,confirmed
EVT-2026-1066,2026-07-02 07:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,160.1,133.9,26.2,26.2,DISCOM commercial request due to low demand period,Commercial / Discom Request,True,DOC-20260702-TA,Commercial / Discom Request,0.917,classified,confirmed
EVT-2026-1067,2026-07-14 14:00:00,Western Region,Rajasthan,RJ_SOLAR_01,Solar,1000,898.4,764.1,134.3,134.3,Protection relay testing shutdown at pooling station,Maintenance / Outage,True,DOC-20260714-RA,Maintenance / Outage,0.891,classified,confirmed
EVT-2026-1068,2026-06-22 15:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,207.3,145.8,61.5,61.5,Economic dispatch instruction from SLDC control room,Commercial / Discom Request,True,DOC-20260622-GU,Commercial / Discom Request,0.898,classified,confirmed
EVT-2026-1069,2026-06-13 10:00:00,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,500,264.0,173.0,91.0,91.0,"High frequency in grid (50.14 Hz), backing down instructed by ERLDC",High Frequency,True,DOC-20260613-TA,High Frequency,0.871,classified,confirmed
EVT-2026-1070,2026-07-13 04:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,219.5,139.2,80.3,80.3,Reactive power compensation constraint at Bhadla grid,Grid Security,True,DOC-20260713-TA,Grid Security,0.881,classified,confirmed
EVT-2026-1071,2026-07-23 09:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,259.2,163.2,96.0,96.0,Transformer maintenance outage at evacuation yard,Maintenance / Outage,True,DOC-20260723-GU,Maintenance / Outage,0.873,classified,confirmed
EVT-2026-1072,2026-07-08 19:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,282.5,228.5,54.0,56.6,N-1 contingency constraint triggered on evacuation line,Transmission Constraint,True,DOC-20260708-TA,Transmission Constraint,0.897,classified,confirmed
EVT-2026-1073,2026-06-13 11:00:00,Western Region,Madhya Pradesh,MP_SOLAR_01,Solar,500,387.7,331.4,56.3,56.3,System security constraint enforced by NRLDC dispatcher,Grid Security,True,DOC-20260613-MA,Grid Security,0.888,classified,confirmed
EVT-2026-1074,2026-07-23 23:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,308.8,289.7,19.1,19.1,Line loading exceeded thermal capacity limit at Khavda,Transmission Constraint,True,DOC-20260723-TA,Transmission Constraint,0.887,classified,confirmed
EVT-2026-1075,2026-08-08 05:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,215.4,165.8,49.6,58.2,Transformer maintenance outage at evacuation yard,Maintenance / Outage,True,DOC-20260808-TA,Maintenance / Outage,0.873,classified,mismatch
EVT-2026-1076,2026-07-24 09:00:00,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,500,277.5,254.4,23.1,23.1,N-1 contingency constraint triggered on evacuation line,Transmission Constraint,True,DOC-20260724-TA,Transmission Constraint,0.897,classified,confirmed
EVT-2026-1077,2026-06-27 23:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,184.8,128.2,56.6,56.6,Frequency control directive: reduce generation immediately,High Frequency,True,DOC-20260627-TA,High Frequency,0.892,classified,confirmed
EVT-2026-1078,2026-06-26 03:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,289.7,231.6,58.1,58.1,"System frequency surge (50.1 Hz), active power curtailment executed",High Frequency,True,DOC-20260626-GU,High Frequency,0.904,classified,confirmed
EVT-2026-1079,2026-06-25 11:00:00,Western Region,Rajasthan,RJ_SOLAR_01,Solar,1000,498.5,408.6,89.9,89.9,Power surrender by buying utility due to off-peak tariff,Commercial / Discom Request,True,DOC-20260625-RA,Commercial / Discom Request,0.881,classified,confirmed
EVT-2026-1080,2026-08-16 06:00:00,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,500,255.6,176.9,78.7,78.7,Substation maintenance work scheduled at Khavda,Maintenance / Outage,True,DOC-20260816-TA,Maintenance / Outage,0.851,classified,confirmed
EVT-2026-1081,2026-07-07 11:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,307.1,263.8,43.3,43.3,Bay maintenance shutdown at Muppandal RE pooling station,Maintenance / Outage,True,DOC-20260707-GU,Maintenance / Outage,0.893,classified,confirmed
EVT-2026-1082,2026-07-06 18:00:00,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,500,407.8,306.8,101.0,106.1,Low demand period discom backing down request,Commercial / Discom Request,True,DOC-20260706-TA,Commercial / Discom Request,0.911,classified,mismatch
EVT-2026-1083,2026-07-31 07:00:00,Southern Region,Karnataka,KA_SOLAR_01,Solar,600,332.1,251.1,81.0,81.0,Transformer maintenance outage at evacuation yard,Maintenance / Outage,True,DOC-20260731-KA,Maintenance / Outage,0.873,classified,confirmed
EVT-2026-1084,2026-06-18 14:00:00,Western Region,Madhya Pradesh,MP_SOLAR_01,Solar,500,264.4,189.9,74.5,74.5,Grid security alert: voltage instability detected at Rewa,Grid Security,True,DOC-20260618-MA,Grid Security,0.869,classified,confirmed
EVT-2026-1085,2026-07-31 18:00:00,Southern Region,Karnataka,KA_SOLAR_01,Solar,600,394.9,275.6,119.3,124.5,Low demand period discom backing down request,Commercial / Discom Request,True,DOC-20260731-KA,Commercial / Discom Request,0.911,classified,mismatch
EVT-2026-1086,2026-08-16 15:00:00,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,500,473.8,336.5,137.3,137.3,Over-generation mitigation required for grid stability,Grid Security,True,DOC-20260816-TA,Grid Security,0.885,classified,confirmed
EVT-2026-1087,2026-07-06 03:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,299.1,203.8,95.3,95.3,N-1 contingency constraint triggered on evacuation line,Transmission Constraint,True,DOC-20260706-GU,Transmission Constraint,0.897,classified,confirmed
EVT-2026-1088,2026-06-09 18:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,187.0,169.7,17.3,17.3,Substation maintenance work scheduled at Tuticorin,Maintenance / Outage,True,DOC-20260609-TA,Maintenance / Outage,0.869,classified,confirmed
EVT-2026-1089,2026-08-17 15:00:00,Western Region,Madhya Pradesh,MP_SOLAR_01,Solar,500,261.3,204.9,56.4,75.9,Transformer maintenance outage at evacuation yard,Maintenance / Outage,True,DOC-20260817-MA,Maintenance / Outage,0.873,classified,mismatch
EVT-2026-1090,2026-08-09 16:00:00,Western Region,Rajasthan,RJ_SOLAR_01,Solar,1000,526.9,412.1,114.8,114.8,Transmission line constraint at Khavda 400kV corridor,Transmission Constraint,True,DOC-20260809-RA,Transmission Constraint,0.875,classified,confirmed
EVT-2026-1091,2026-07-04 13:00:00,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,500,223.4,173.4,50.0,50.0,Bay maintenance shutdown at Kurnool RE pooling station,Maintenance / Outage,True,DOC-20260704-TA,Maintenance / Outage,0.886,classified,confirmed
EVT-2026-1092,2026-06-11 12:00:00,Western Region,Madhya Pradesh,MP_SOLAR_01,Solar,500,261.5,236.4,25.1,25.1,"Inter-regional corridor bottleneck, backing down required",Transmission Constraint,True,DOC-20260611-MA,Transmission Constraint,0.901,classified,confirmed
EVT-2026-1093,2026-08-06 16:00:00,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,500,314.8,284.6,30.2,40.8,Protection relay testing shutdown at pooling station,Maintenance / Outage,True,DOC-20260806-TA,Maintenance / Outage,0.891,classified,mismatch
EVT-2026-1094,2026-08-13 15:00:00,Western Region,Rajasthan,RJ_SOLAR_01,Solar,1000,920.3,713.6,206.7,206.7,Grid security alert: voltage instability detected at Kayathar,Grid Security,True,DOC-20260813-RA,Grid Security,0.863,classified,confirmed
EVT-2026-1095,2026-06-26 12:00:00,Southern Region,Karnataka,KA_SOLAR_01,Solar,600,293.6,253.0,40.6,40.6,Protection relay testing shutdown at pooling station,Maintenance / Outage,True,DOC-20260626-KA,Maintenance / Outage,0.891,classified,confirmed
EVT-2026-1096,2026-08-07 18:00:00,Southern Region,Karnataka,KA_SOLAR_01,Solar,600,441.0,356.2,84.8,84.8,Frequency control directive: reduce generation immediately,High Frequency,True,DOC-20260807-KA,High Frequency,0.892,classified,confirmed
EVT-2026-1097,2026-06-10 11:00:00,Southern Region,Andhra Pradesh,AP_SOLAR_02,Solar,450,230.7,181.4,49.3,49.3,"Inter-regional corridor bottleneck, backing down required",Transmission Constraint,True,DOC-20260610-AN,Transmission Constraint,0.901,classified,confirmed
EVT-2026-1098,2026-07-28 03:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,302.8,218.8,84.0,84.0,"High frequency in grid (50.07 Hz), backing down instructed by ERLDC",High Frequency,True,DOC-20260728-GU,High Frequency,0.89,classified,confirmed
EVT-2026-1099,2026-07-12 16:00:00,Southern Region,Andhra Pradesh,AP_SOLAR_02,Solar,450,185.2,111.3,73.9,73.9,Protection relay testing shutdown at pooling station,Maintenance / Outage,True,DOC-20260712-AN,Maintenance / Outage,0.891,classified,confirmed
EVT-2026-1100,2026-07-21 08:00:00,Southern Region,Tamil Nadu,TN_SOLAR_01,Solar,500,283.3,207.9,75.4,75.4,Economic dispatch instruction from SLDC control room,Commercial / Discom Request,True,DOC-20260721-TA,Commercial / Discom Request,0.898,classified,confirmed
EVT-2026-1101,2026-06-06 08:00:00,Western Region,Madhya Pradesh,MP_SOLAR_01,Solar,500,457.7,401.1,56.6,56.6,System security constraint enforced by ERLDC dispatcher,Grid Security,True,DOC-20260606-MA,Grid Security,0.877,classified,confirmed
EVT-2026-1102,2026-07-24 06:00:00,Southern Region,Karnataka,KA_SOLAR_01,Solar,600,566.7,430.4,136.3,176.7,Low demand period discom backing down request,Commercial / Discom Request,True,DOC-20260724-KA,Commercial / Discom Request,0.911,classified,mismatch
EVT-2026-1103,2026-08-06 00:00:00,Southern Region,Tamil Nadu,TN_WIND_02,Wind,350,205.6,158.7,46.9,46.9,Substation maintenance work scheduled at Kurnool,Maintenance / Outage,True,DOC-20260806-TA,Maintenance / Outage,0.868,classified,confirmed
EVT-2026-1104,2026-06-09 12:00:00,Western Region,Gujarat,GJ_WIND_01,Wind,400,293.4,194.8,98.6,98.6,"System frequency surge (50.06 Hz), active power curtailment executed",High Frequency,True,DOC-20260609-GU,High Frequency,0.891,classified,confirmed
